,subfamily,species,subfamily.species,Order,family.group,functional.group,family.cluster,subfamily2_1,subfamily2_2,Y.axis,family.count_200bp,subfamily.count_200bp,tree,treeOrder,Node_ID,liftover_count.macque,perC.macque,Subfamily_color,functional.group.original,instance.cluster.name,subfamily.cluster.order,functional.group.order,branch.length.ToKeptNode
1,MER9B_g1,hg19,h_MER9B_g1,1,G1,PG1,MER9a,MER9B,1,G1 PG1,38,28,Step21_hg19_G1_v1,4,Node4/96,21,0.75,#C082C8,FG2,MER9B_c1,10,1,0.03787128
2,MER9a3_g7,hg19,h_MER9a3_g7,2,G1,PG2,MER9a,MER9a3,7,G1 PG2,535,11,Step21_hg19_G1_v1,4,Node4/100,8,0.727272727,#B197D6,FG1,MER9a3_c7,10,2,0.092846688
3,MER9a3_g2,hg19,h_MER9a3_g2,3,G1,PG2,MER9a,MER9a3,2,G1 PG2,535,46,Step21_hg19_G1_v1,4,Node16/98,30,0.652173913,#D8CB75,FG1,MER9a3_c2,10,2,0.076964242
4,MER9a3_g6,hg19,h_MER9a3_g6,4,G1,PG2,MER9a,MER9a3,6,G1 PG2,535,13,Step21_hg19_G1_v1,4,Node139/96,6,0.461538462,#9BE659,FG3,MER9a3_c6,10,2,0.14287994
5,MER9a3_g5,hg19,h_MER9a3_g5,5,G1,PG2,MER9a,MER9a3,5,G1 PG2,535,15,Step21_hg19_G1_v1,4,Node28/99,10,0.666666667,#84CAD7,FG3,MER9a3_c5,10,2,0.116351697
6,MER9a3_g3,hg19,h_MER9a3_g3,6,G1,PG2,MER9a,MER9a3,3,G1 PG2,535,19,Step21_hg19_G1_v1,4,Node118/97,7,0.368421053,#D8D1C8,FG3,MER9a3_c3,10,2,0.115755612
7,MER9a3_g4,hg19,h_MER9a3_g4,7,G1,PG2,MER9a,MER9a3,4,G1 PG2,535,16,Step21_hg19_G1_v1,4,Node109/96,14,0.875,#BE56D5,FG3,MER9a3_c4,10,2,0.114339796
8,MER9a3_g1,hg19,h_MER9a3_g1,8,G1,PG2,MER9a,MER9a3,1,G1 PG2,535,396,Step21_hg19_G1_v1,4,Node13/99,257,0.648989899,#DB7D79,FG3,MER9a3_c1,10,2,0.10697498
9,MER9a2_g1,hg19,h_MER9a2_g1,9,G1,PG3,MER9a,MER9a2,1,G1 PG3,282,259,Step21_hg19_G1_v1,4,Node2/100,36,0.138996139,#B870D5,FG4,MER9a2_c1,10,3,0.147819795
10,MER9a2_g3,hg19,h_MER9a2_g3,10,G1,PG3,MER9a,MER9a2,3,G1 PG3,282,10,Step21_hg19_G1_v1,4,Node4/100,0,0,#A8CFD2,FG4,MER9a2_c3,10,3,0.198455871
11,MER9a2_g2,hg19,h_MER9a2_g2,11,G1,PG3,MER9a,MER9a2,2,G1 PG3,282,10,Step21_hg19_G1_v1,4,Node29/96,1,0.1,#DD9187,FG4,MER9a2_c2,10,3,0.154752497
12,MER9a1_g3,hg19,h_MER9a1_g3,12,G1,PG3,MER9a,MER9a1,3,G1 PG3,331,10,Step21_hg19_G1_v1,4,Node82/96,0,0,#DC9697,FG4,MER9a1_c3,10,3,0.154748637
13,MER9a1_g1,hg19,h_MER9a1_g1,13,G1,PG3,MER9a,MER9a1,1,G1 PG3,331,299,Step21_hg19_G1_v1,4,Node2/98,5,0.016722408,#A3D1D2,FG4,MER9a1_c1,10,3,0.168533925
14,MER9a1_g2,hg19,h_MER9a1_g2,14,G1,PG3,MER9a,MER9a1,2,G1 PG3,331,13,Step21_hg19_G1_v1,4,Node45/96,0,0,#B6DB77,FG4,MER9a1_c2,10,3,0.17800573
15,LTR14_g1,hg19,h_LTR14_g1,4,G10,PG1,LTR14,LTR14,1,G10 PG1,85,70,Step21_hg19_G10_v1,1,Node1/,50,0.714285714,#C082C8,FG1,LTR14_c1,15,1,0.006792264
16,LTR14_g2,hg19,h_LTR14_g2,3,G10,PG1,LTR14,LTR14,2,G10 PG1,85,15,Step21_hg19_G10_v1,1,Node9/98,2,0.133333333,#B7D3A2,FG1,LTR14_c2,15,1,0.025309718
17,LTR14C_g1,hg19,h_LTR14C_g1,1,G10,PG2,LTR14,LTR14C,1,G10 PG2,127,92,Step21_hg19_G10_v1,1,Node3/100,39,0.423913043,#BF6DCD,FG2,LTR14C_c1,15,2,0.355274766
18,LTR14C_g2,hg19,h_LTR14C_g2,2,G10,PG2,LTR14,LTR14C,2,G10 PG2,127,28,Step21_hg19_G10_v1,1,Node6/96,6,0.214285714,#B4D97F,FG2,LTR14C_c2,15,2,0.355123076
19,LTR14B_g6,hg19,h_LTR14B_g6,1,G11,PG1,LTR14A,LTR14B,6,G11 PG1,318,11,Step21_hg19_G11_v1,3,Node103/100,8,0.727272727,#D7CFBC,FG1,LTR14B_c6,11,1,0.046395144
20,LTR14B_g5,hg19,h_LTR14B_g5,2,G11,PG1,LTR14A,LTR14B,5,G11 PG1,318,13,Step21_hg19_G11_v1,3,Node116/99,5,0.384615385,#818ED6,FG1,LTR14B_c5,11,1,0.040205182
21,LTR14B_g8,hg19,h_LTR14B_g8,3,G11,PG1,LTR14A,LTR14B,8,G11 PG1,318,10,Step21_hg19_G11_v1,3,Node87/98,3,0.3,#8BE65D,FG1,LTR14B_c8,11,1,0.044543432
22,LTR14B_g4,hg19,h_LTR14B_g4,4,G11,PG2,LTR14A,LTR14B,4,G11 PG2,318,26,Step21_hg19_G11_v1,3,Node3/99,19,0.730769231,#DA7360,FG1,LTR14B_c4,11,2,0.058939275
23,LTR14B_g7,hg19,h_LTR14B_g7,5,G11,PG2,LTR14A,LTR14B,7,G11 PG2,318,10,Step21_hg19_G11_v1,3,Node66/98,3,0.3,#8BCDD9,FG1,LTR14B_c7,11,2,0.132477224
24,LTR14A_g2,hg19,h_LTR14A_g2,6,G11,PG2,LTR14A,LTR14A,2,G11 PG2,127,26,Step21_hg19_G11_v1,3,Node6/100,18,0.692307692,#BBBFC2,FG1,LTR14A_c2,11,2,0.076253713
25,LTR14A_g1,hg19,h_LTR14A_g1,7,G11,PG2,LTR14A,LTR14A,1,G11 PG2,127,90,Step21_hg19_G11_v1,3,Node1/,44,0.488888889,#B4D97F,FG2,LTR14A_c1,11,2,0.110251195
26,LTR14A_g3,hg19,h_LTR14A_g3,8,G11,PG2,LTR14A,LTR14A,3,G11 PG2,127,11,Step21_hg19_G11_v1,3,Node24/100,1,0.090909091,#BF6DCD,FG2,LTR14A_c3,11,2,0.172236045
27,LTR14B_g1,hg19,h_LTR14B_g1,9,G11,PG2,LTR14A,LTR14B,1,G11 PG2,318,95,Step21_hg19_G11_v1,3,Node9/96,66,0.694736842,#D7CF6C,FG3,LTR14B_c1,11,2,0.114943556
28,LTR14B_g2,hg19,h_LTR14B_g2,10,G11,PG3,LTR14A,LTR14B,2,G11 PG3,318,52,Step21_hg19_G11_v1,3,Node10/97,36,0.692307692,#8AE2B1,FG4,LTR14B_c2,11,3,0.157363995
29,LTR14B_g3,hg19,h_LTR14B_g3,11,G11,PG3,LTR14A,LTR14B,3,G11 PG3,318,37,Step21_hg19_G11_v1,3,Node16/99,29,0.783783784,#BE56D6,FG4,LTR14B_c3,11,3,0.144079622
30,LTR17_g3,hg19,h_LTR17_g3,1,G12,PG1,LTR17,LTR17,3,G12 PG1,771,67,Step21_hg19_G12_v1,18,Node1/,52,0.776119403,#6AE1A4,FG3,LTR17_c3,12,1,1.1352E-06
31,LTR17_g11,hg19,h_LTR17_g11,2,G12,PG1,LTR17,LTR17,11,G12 PG1,771,15,Step21_hg19_G12_v1,18,Node164/99,12,0.8,#8EAFDE,FG3,LTR17_c11,12,1,0.003443911
32,LTR17_g10,hg19,h_LTR17_g10,3,G12,PG1,LTR17,LTR17,10,G12 PG1,771,18,Step21_hg19_G12_v1,18,Node2/97,15,0.833333333,#DCD8D2,FG3,LTR17_c10,12,1,0.013995634
33,LTR17_g2,hg19,h_LTR17_g2,4,G12,PG1,LTR17,LTR17,2,G12 PG1,771,137,Step21_hg19_G12_v1,18,Node7/98,99,0.722627737,#C8DFA5,FG3,LTR17_c2,12,1,0.013363491
34,LTR17_g8,hg19,h_LTR17_g8,5,G12,PG2,LTR17,LTR17,8,G12 PG2,771,23,Step21_hg19_G12_v1,18,Node119/99,19,0.826086957,#DA5F5E,FG2,LTR17_c8,12,2,0.036986632
35,LTR17_g4,hg19,h_LTR17_g4,6,G12,PG2,LTR17,LTR17,4,G12 PG2,771,53,Step21_hg19_G12_v1,18,Node8/99,39,0.735849057,#85E1DF,FG2,LTR17_c4,12,2,0.037291883
36,LTR17_g1,hg19,h_LTR17_g1,7,G12,PG3,LTR17,LTR17,1,G12 PG3,771,275,Step21_hg19_G12_v1,18,Node10/100,125,0.454545455,#7DE655,FG2,LTR17_c1,12,3,0.058823115
37,LTR17_g6,hg19,h_LTR17_g6,8,G12,PG3,LTR17,LTR17,6,G12 PG3,771,38,Step21_hg19_G12_v1,18,Node59/98,22,0.578947368,#8679D8,FG2,LTR17_c6,12,3,0.069878816
38,LTR17_g9,hg19,h_LTR17_g9,9,G12,PG3,LTR17,LTR17,9,G12 PG3,771,23,Step21_hg19_G12_v1,18,Node70/96,7,0.304347826,#DCA3C6,FG2,LTR17_c9,12,3,0.060181335
39,LTR17_g12,hg19,h_LTR17_g12,10,G12,PG3,LTR17,LTR17,12,G12 PG3,771,15,Step21_hg19_G12_v1,18,Node48/98,1,0.066666667,#B345E3,FG1,LTR17_c12,12,3,0.067636023
40,LTR17_g5,hg19,h_LTR17_g5,11,G12,PG3,LTR17,LTR17,5,G12 PG3,771,52,Step21_hg19_G12_v1,18,Node31/99,1,0.019230769,#D9A464,FG1,LTR17_c5,12,3,0.060713684
41,LTR17_g7,hg19,h_LTR17_g7,12,G12,PG3,LTR17,LTR17,7,G12 PG3,771,35,Step21_hg19_G12_v1,18,Node12/96,0,0,#D5DE62,FG1,LTR17_c7,12,3,0.061503575
42,LTR17_g13,hg19,h_LTR17_g13,13,G12,PG3,LTR17,LTR17,13,G12 PG3,771,10,Step21_hg19_G12_v1,18,Node17/97,0,0,#79928D,FG1,LTR17_c13,12,3,0.076156851
43,LTR22A_g1,hg19,h_LTR22A_g1,1,G13,PG1,LTR22,LTR22A,1,G13 PG1,172,63,Step21_hg19_G13_v1,1,Node22/98,49,0.777777778,#AFA1D6,FG1,LTR22A_c1,3,1,2.1747E-06
44,LTR22A_g3,hg19,h_LTR22A_g3,2,G13,PG1,LTR22,LTR22A,3,G13 PG1,172,37,Step21_hg19_G13_v1,1,Node21/96,23,0.621621622,#A3D9CE,FG1,LTR22A_c3,3,1,0.042947999
45,LTR22A_g2,hg19,h_LTR22A_g2,3,G13,PG1,LTR22,LTR22A,2,G13 PG1,172,37,Step21_hg19_G13_v1,1,Node17/99,28,0.756756757,#86E471,FG1,LTR22A_c2,3,1,0.086505036
46,LTR22A_g5,hg19,h_LTR22A_g5,4,G13,PG2,LTR22,LTR22A,5,G13 PG2,172,11,Step21_hg19_G13_v1,1,Node8/97,5,0.454545455,#BF5AD5,FG1,LTR22A_c5,3,2,0.248620754
47,LTR22A_g4,hg19,h_LTR22A_g4,5,G13,PG2,LTR22,LTR22A,4,G13 PG2,172,14,Step21_hg19_G13_v1,1,Node1/,13,0.928571429,#D6D07B,FG1,LTR22A_c4,3,2,0.233554411
48,LTR22C_g1,hg19,h_LTR22C_g1,6,G13,PG3,LTR22,LTR22C,1,G13 PG3,368,89,Step21_hg19_G13_v1,1,Node109/96,52,0.584269663,#D6A448,FG2,LTR22C_c1,3,3,0.353295771
49,LTR22C_g10,hg19,h_LTR22C_g10,7,G13,PG3,LTR22,LTR22C,10,G13 PG3,368,11,Step21_hg19_G13_v1,1,Node168/97,7,0.636363636,#D95D5B,FG3,LTR22C_c10,3,3,0.429728444
50,LTR22C_g7,hg19,h_LTR22C_g7,8,G13,PG3,LTR22,LTR22C,7,G13 PG3,368,12,Step21_hg19_G13_v1,1,Node158/100,8,0.666666667,#76DC80,FG3,LTR22C_c7,3,3,0.42579538
51,LTR22C_g15,hg19,h_LTR22C_g15,9,G13,PG3,LTR22,LTR22C,15,G13 PG3,368,10,Step21_hg19_G13_v1,1,Node151/99,10,1,#7EDFE2,FG3,LTR22C_c15,3,3,0.455564448
52,LTR22C_g3,hg19,h_LTR22C_g3,10,G13,PG3,LTR22,LTR22C,3,G13 PG3,368,28,Step21_hg19_G13_v1,1,Node139/97,22,0.785714286,#DBACD4,FG3,LTR22C_c3,3,3,0.442793603
53,LTR22C_g9,hg19,h_LTR22C_g9,11,G13,PG3,LTR22,LTR22C,9,G13 PG3,368,11,Step21_hg19_G13_v1,1,Node141/97,8,0.727272727,#D976C5,FG3,LTR22C_c9,3,3,0.462959091
54,LTR22C_g4,hg19,h_LTR22C_g4,12,G13,PG3,LTR22,LTR22C,4,G13 PG3,368,21,Step21_hg19_G13_v1,1,Node94/100,12,0.571428571,#77EB42,FG3,LTR22C_c4,3,3,0.430620345
55,LTR22C_g13,hg19,h_LTR22C_g13,13,G13,PG4,LTR22,LTR22C,13,G13 PG4,368,11,Step21_hg19_G13_v1,1,Node77/100,8,0.727272727,#C2E6BD,FG4,LTR22C_c13,3,4,0.542903628
56,LTR22C_g17,hg19,h_LTR22C_g17,14,G13,PG4,LTR22,LTR22C,17,G13 PG4,368,10,Step21_hg19_G13_v1,1,Node71/99,6,0.6,#E1AC9A,FG4,LTR22C_c17,3,4,0.578663957
57,LTR22C_g16,hg19,h_LTR22C_g16,15,G13,PG4,LTR22,LTR22C,16,G13 PG4,368,10,Step21_hg19_G13_v1,1,Node51/100,0,0,#5EE1BA,FG4,LTR22C_c16,3,4,0.655054105
58,LTR22C_g14,hg19,h_LTR22C_g14,16,G13,PG4,LTR22,LTR22C,14,G13 PG4,368,11,Step21_hg19_G13_v1,1,Node84/100,9,0.818181818,#81B1DE,FG4,LTR22C_c14,3,4,0.576159076
59,LTR22C_g8,hg19,h_LTR22C_g8,17,G13,PG4,LTR22,LTR22C,8,G13 PG4,368,12,Step21_hg19_G13_v1,1,Node89/99,7,0.583333333,#784ADE,FG4,LTR22C_c8,3,4,0.595161175
60,LTR22C_g5,hg19,h_LTR22C_g5,18,G13,PG4,LTR22,LTR22C,5,G13 PG4,368,16,Step21_hg19_G13_v1,1,Node58/97,12,0.75,#D5DBDD,FG5,LTR22C_c5,3,4,0.542030284
61,LTR22_g1,hg19,h_LTR22_g1,19,G13,PG5,LTR22,LTR22,1,G13 PG5,88,88,Step21_hg19_G13_v1,1,Node1/,50,0.568181818,#BEB4B2,FG7,LTR22_c1,3,5,0.70652264
62,LTR22C_g6,hg19,h_LTR22C_g6,20,G13,PG4,LTR22,LTR22C,6,G13 PG4,368,14,Step21_hg19_G13_v1,1,Node23/96,10,0.714285714,#D5D68C,FG5,LTR22C_c6,3,4,0.596951183
63,LTR22C_g12,hg19,h_LTR22C_g12,21,G13,PG4,LTR22,LTR22C,12,G13 PG4,368,11,Step21_hg19_G13_v1,1,Node34/100,6,0.545454545,#D0E45B,FG5,LTR22C_c12,3,4,0.670850954
64,LTR22C_g2,hg19,h_LTR22C_g2,22,G13,PG4,LTR22,LTR22C,2,G13 PG4,368,31,Step21_hg19_G13_v1,1,Node35/97,20,0.64516129,#7A8A88,FG5,LTR22C_c2,3,4,0.675767643
65,LTR22B_g6,hg19,h_LTR22B_g6,23,G13,PG4,LTR22,LTR22B,6,G13 PG4,217,13,Step21_hg19_G13_v1,1,Node17/100,4,0.307692308,#847ADB,FG6,LTR22B_c6,3,4,0.726344471
66,LTR22C_g11,hg19,h_LTR22C_g11,24,G13,PG4,LTR22,LTR22C,11,G13 PG4,368,11,Step21_hg19_G13_v1,1,Node17/97,10,0.909090909,#D74CD8,FG5,LTR22C_c11,3,4,0.748937373
67,LTR22B_g3,hg19,h_LTR22B_g3,25,G13,PG4,LTR22,LTR22B,3,G13 PG4,217,20,Step21_hg19_G13_v1,1,Node11/96,15,0.75,#DCCBCC,FG6,LTR22B_c3,3,4,0.661421055
68,LTR22B_g4,hg19,h_LTR22B_g4,26,G13,PG6,LTR22,LTR22B,4,G13 PG6,217,20,Step21_hg19_G13_v1,1,Node29/97,8,0.4,#8DABD0,FG6,LTR22B_c4,3,6,0.782535167
69,LTR22B_g2,hg19,h_LTR22B_g2,27,G13,PG6,LTR22,LTR22B,2,G13 PG6,217,32,Step21_hg19_G13_v1,1,Node28/97,20,0.625,#C34ADB,FG6,LTR22B_c2,3,6,0.759150876
70,LTR22B_g9,hg19,h_LTR22B_g9,28,G13,PG6,LTR22,LTR22B,9,G13 PG6,217,10,Step21_hg19_G13_v1,1,Node77/100,0,0,#C5DAA3,FG6,LTR22B_c9,3,6,0.885605106
71,LTR22B_g5,hg19,h_LTR22B_g5,29,G13,PG6,LTR22,LTR22B,5,G13 PG6,217,18,Step21_hg19_G13_v1,1,Node63/100,14,0.777777778,#D78061,FG6,LTR22B_c5,3,6,0.894968706
72,LTR22B_g8,hg19,h_LTR22B_g8,30,G13,PG6,LTR22,LTR22B,8,G13 PG6,217,11,Step21_hg19_G13_v1,1,Node45/100,10,0.909090909,#DC85C1,FG6,LTR22B_c8,3,6,0.878625944
73,LTR22B_g1,hg19,h_LTR22B_g1,31,G13,PG6,LTR22,LTR22B,1,G13 PG6,217,40,Step21_hg19_G13_v1,1,Node36/96,26,0.65,#DBD55D,FG6,LTR22B_c1,3,6,0.834994517
74,LTR22B_g7,hg19,h_LTR22B_g7,32,G13,PG6,LTR22,LTR22B,7,G13 PG6,217,11,Step21_hg19_G13_v1,1,Node39/98,7,0.636363636,#7DE0D2,FG6,LTR22B_c7,3,6,0.880970892
75,HERV1_LTRc_g1,hg19,h_HERV1_LTRc_g1,1,G14,PG1,LTR15,HERV1_LTRc,1,G14 PG1,30,30,Step21_hg19_G14_v1,2,Node1/,16,0.533333333,#BEB4B2,FG1,HERV1_LTRc_c1,6,1,0.162542697
76,HERV1_LTRb_g0,hg19,h_HERV1_LTRb_g0,2,G14,PG2,LTR15,HERV1_LTRb,0,G14 PG2,10,10,Step21_hg19_G14_v1,2,-,6,0.6,-,FG2,HERV1_LTRb_c0,6,2,0.209812999
77,HERV1_LTRa_g1,hg19,h_HERV1_LTRa_g1,3,G14,PG2,LTR15,HERV1_LTRa,1,G14 PG2,24,21,Step21_hg19_G14_v1,2,Node3/100,14,0.666666667,#B7D3A2,FG2,HERV1_LTRa_c1,6,2,0.178101685
78,HERV1_LTRe_g1,hg19,h_HERV1_LTRe_g1,4,G14,PG3,LTR15,HERV1_LTRe,1,G14 PG3,25,19,Step21_hg19_G14_v1,2,Node3/100,15,0.789473684,#C082C8,FG3,HERV1_LTRe_c1,6,3,0.216798353
79,HERV1_LTRd_g0,hg19,h_HERV1_LTRd_g0,5,G14,PG3,LTR15,HERV1_LTRd,0,G14 PG3,12,12,Step21_hg19_G14_v1,2,-,8,0.666666667,-,FG3,HERV1_LTRd_c0,6,3,0.268435573
80,LTR15_g2,hg19,h_LTR15_g2,6,G14,PG4,LTR15,LTR15,2,G14 PG4,211,17,Step21_hg19_G14_v1,2,Node4/99,1,0.058823529,#B4DE6F,FG4,LTR15_c2,6,4,0.332645116
81,LTR15_g1,hg19,h_LTR15_g1,7,G14,PG4,LTR15,LTR15,1,G14 PG4,211,165,Step21_hg19_G14_v1,2,Node12/98,86,0.521212121,#BE5CD3,FG4,LTR15_c1,6,4,0.260489107
82,LTR15_g3,hg19,h_LTR15_g3,8,G14,PG4,LTR15,LTR15,3,G14 PG4,211,13,Step21_hg19_G14_v1,2,Node39/96,6,0.461538462,#A7DAC8,FG4,LTR15_c3,6,4,0.288638035
83,LTR15_g4,hg19,h_LTR15_g4,9,G14,PG4,LTR15,LTR15,4,G14 PG4,211,11,Step21_hg19_G14_v1,2,Node33/96,6,0.545454545,#B3A5D5,FG4,LTR15_c4,6,4,0.287972805
84,LTR61_g1,hg19,h_LTR61_g1,1,G15,PG1,LTR61,LTR61,1,G15 PG1,124,42,Step21_hg19_G15_v1,1,Node17/96,29,0.69047619,#9DDBCF,FG1,LTR61_c1,16,1,0.0000005
